From Date,To Date,PM2.5,PM10
06-01-2020 14:00,06-01-2020 14:15,None,None
06-01-2020 14:15,06-01-2020 14:30,None,None
06-01-2020 14:30,06-01-2020 14:45,None,None
06-01-2020 14:45,06-01-2020 15:00,None,None
06-01-2020 15:00,06-01-2020 15:15,None,None
06-01-2020 15:15,06-01-2020 15:30,None,None
06-01-2020 15:30,06-01-2020 15:45,None,None
06-01-2020 15:45,06-01-2020 16:00,None,None
06-01-2020 16:00,06-01-2020 16:15,None,None
06-01-2020 16:15,06-01-2020 16:30,None,None
06-01-2020 16:30,06-01-2020 16:45,None,None
06-01-2020 16:45,06-01-2020 17:00,None,None
06-01-2020 17:00,06-01-2020 17:15,None,None
06-01-2020 17:15,06-01-2020 17:30,None,None
06-01-2020 17:30,06-01-2020 17:45,None,None
06-01-2020 17:45,06-01-2020 18:00,None,None
06-01-2020 18:00,06-01-2020 18:15,None,None
06-01-2020 18:15,06-01-2020 18:30,None,None
06-01-2020 18:30,06-01-2020 18:45,None,None
06-01-2020 18:45,06-01-2020 19:00,None,None
06-01-2020 19:00,06-01-2020 19:15,None,None
06-01-2020 19:15,06-01-2020 19:30,None,None
06-01-2020 19:30,06-01-2020 19:45,None,None
06-01-2020 19:45,06-01-2020 20:00,None,None
06-01-2020 20:00,06-01-2020 20:15,None,None
06-01-2020 20:15,06-01-2020 20:30,None,None
06-01-2020 20:30,06-01-2020 20:45,None,None
06-01-2020 20:45,06-01-2020 21:00,None,None
06-01-2020 21:00,06-01-2020 21:15,None,None
06-01-2020 21:15,06-01-2020 21:30,None,None
06-01-2020 21:30,06-01-2020 21:45,None,None
06-01-2020 21:45,06-01-2020 22:00,None,None
06-01-2020 22:00,06-01-2020 22:15,None,None
06-01-2020 22:15,06-01-2020 22:30,None,None
06-01-2020 22:30,06-01-2020 22:45,None,None
06-01-2020 22:45,06-01-2020 23:00,None,None
06-01-2020 23:00,06-01-2020 23:15,None,None
06-01-2020 23:15,06-01-2020 23:30,None,None
06-01-2020 23:30,06-01-2020 23:45,None,None
06-01-2020 23:45,07-01-2020 00:00,None,None
07-01-2020 00:00,07-01-2020 00:15,None,None
07-01-2020 00:15,07-01-2020 00:30,None,None
07-01-2020 00:30,07-01-2020 00:45,None,None
07-01-2020 00:45,07-01-2020 01:00,None,None
07-01-2020 01:00,07-01-2020 01:15,None,None
07-01-2020 01:15,07-01-2020 01:30,None,None
07-01-2020 01:30,07-01-2020 01:45,None,None
07-01-2020 01:45,07-01-2020 02:00,None,None
07-01-2020 02:00,07-01-2020 02:15,None,None
07-01-2020 02:15,07-01-2020 02:30,None,None
07-01-2020 02:30,07-01-2020 02:45,None,None
07-01-2020 02:45,07-01-2020 03:00,None,None
07-01-2020 03:00,07-01-2020 03:15,None,None
07-01-2020 03:15,07-01-2020 03:30,None,None
07-01-2020 03:30,07-01-2020 03:45,None,None
07-01-2020 03:45,07-01-2020 04:00,None,None
07-01-2020 04:00,07-01-2020 04:15,None,None
07-01-2020 04:15,07-01-2020 04:30,None,None
07-01-2020 04:30,07-01-2020 04:45,None,None
07-01-2020 04:45,07-01-2020 05:00,None,None
07-01-2020 05:00,07-01-2020 05:15,None,None
07-01-2020 05:15,07-01-2020 05:30,None,None
07-01-2020 05:30,07-01-2020 05:45,None,None
07-01-2020 05:45,07-01-2020 06:00,None,None
07-01-2020 06:00,07-01-2020 06:15,None,None
07-01-2020 06:15,07-01-2020 06:30,None,None
07-01-2020 06:30,07-01-2020 06:45,None,None
07-01-2020 06:45,07-01-2020 07:00,None,None
07-01-2020 07:00,07-01-2020 07:15,None,None
07-01-2020 07:15,07-01-2020 07:30,None,None
07-01-2020 07:30,07-01-2020 07:45,None,None
07-01-2020 07:45,07-01-2020 08:00,None,None
07-01-2020 08:00,07-01-2020 08:15,None,None
07-01-2020 08:15,07-01-2020 08:30,None,None
07-01-2020 08:30,07-01-2020 08:45,None,None
07-01-2020 08:45,07-01-2020 09:00,None,None
07-01-2020 09:00,07-01-2020 09:15,None,None
07-01-2020 09:15,07-01-2020 09:30,None,None
07-01-2020 09:30,07-01-2020 09:45,None,None
07-01-2020 09:45,07-01-2020 10:00,None,None
07-01-2020 10:00,07-01-2020 10:15,None,None
07-01-2020 10:15,07-01-2020 10:30,None,None
07-01-2020 10:30,07-01-2020 10:45,None,None
07-01-2020 10:45,07-01-2020 11:00,None,None
07-01-2020 11:00,07-01-2020 11:15,None,None
07-01-2020 11:15,07-01-2020 11:30,None,None
07-01-2020 11:30,07-01-2020 11:45,None,None
07-01-2020 11:45,07-01-2020 12:00,None,None
07-01-2020 12:00,07-01-2020 12:15,None,None
07-01-2020 12:15,07-01-2020 12:30,None,None
07-01-2020 12:30,07-01-2020 12:45,None,None
07-01-2020 12:45,07-01-2020 13:00,None,None
07-01-2020 13:00,07-01-2020 13:15,None,None
07-01-2020 13:15,07-01-2020 13:30,None,None
07-01-2020 13:30,07-01-2020 13:45,None,None
07-01-2020 13:45,07-01-2020 14:00,None,None
07-01-2020 14:00,07-01-2020 14:15,None,None
07-01-2020 14:15,07-01-2020 14:30,None,None
07-01-2020 14:30,07-01-2020 14:45,None,None
07-01-2020 14:45,07-01-2020 15:00,None,None
07-01-2020 15:00,07-01-2020 15:15,None,None
07-01-2020 15:15,07-01-2020 15:30,None,None
07-01-2020 15:30,07-01-2020 15:45,None,None
07-01-2020 15:45,07-01-2020 16:00,None,None
07-01-2020 16:00,07-01-2020 16:15,None,None
07-01-2020 16:15,07-01-2020 16:30,None,None
07-01-2020 16:30,07-01-2020 16:45,None,None
07-01-2020 16:45,07-01-2020 17:00,None,None
07-01-2020 17:00,07-01-2020 17:15,None,None
07-01-2020 17:15,07-01-2020 17:30,None,None
07-01-2020 17:30,07-01-2020 17:45,None,None
07-01-2020 17:45,07-01-2020 18:00,None,None
07-01-2020 18:00,07-01-2020 18:15,None,None
07-01-2020 18:15,07-01-2020 18:30,None,None
07-01-2020 18:30,07-01-2020 18:45,None,None
07-01-2020 18:45,07-01-2020 19:00,None,None
07-01-2020 19:00,07-01-2020 19:15,None,None
07-01-2020 19:15,07-01-2020 19:30,None,None
07-01-2020 19:30,07-01-2020 19:45,None,None
07-01-2020 19:45,07-01-2020 20:00,None,None
07-01-2020 20:00,07-01-2020 20:15,None,None
07-01-2020 20:15,07-01-2020 20:30,None,None
07-01-2020 20:30,07-01-2020 20:45,None,None
07-01-2020 20:45,07-01-2020 21:00,None,None
07-01-2020 21:00,07-01-2020 21:15,None,None
07-01-2020 21:15,07-01-2020 21:30,None,None
07-01-2020 21:30,07-01-2020 21:45,None,None
07-01-2020 21:45,07-01-2020 22:00,None,None
07-01-2020 22:00,07-01-2020 22:15,None,None
07-01-2020 22:15,07-01-2020 22:30,None,None
07-01-2020 22:30,07-01-2020 22:45,None,None
07-01-2020 22:45,07-01-2020 23:00,None,None
07-01-2020 23:00,07-01-2020 23:15,None,None
07-01-2020 23:15,07-01-2020 23:30,None,None
07-01-2020 23:30,07-01-2020 23:45,None,None
07-01-2020 23:45,08-01-2020 00:00,None,None
08-01-2020 00:00,08-01-2020 00:15,None,None
08-01-2020 00:15,08-01-2020 00:30,None,None
08-01-2020 00:30,08-01-2020 00:45,None,None
08-01-2020 00:45,08-01-2020 01:00,None,None
08-01-2020 01:00,08-01-2020 01:15,None,None
08-01-2020 01:15,08-01-2020 01:30,None,None
08-01-2020 01:30,08-01-2020 01:45,None,None
08-01-2020 01:45,08-01-2020 02:00,None,None
08-01-2020 02:00,08-01-2020 02:15,None,None
08-01-2020 02:15,08-01-2020 02:30,None,None
08-01-2020 02:30,08-01-2020 02:45,None,None
08-01-2020 02:45,08-01-2020 03:00,None,None
08-01-2020 03:00,08-01-2020 03:15,None,None
08-01-2020 03:15,08-01-2020 03:30,None,None
08-01-2020 03:30,08-01-2020 03:45,None,None
08-01-2020 03:45,08-01-2020 04:00,None,None
08-01-2020 04:00,08-01-2020 04:15,None,None
08-01-2020 04:15,08-01-2020 04:30,None,None
08-01-2020 04:30,08-01-2020 04:45,None,None
08-01-2020 04:45,08-01-2020 05:00,None,None
08-01-2020 05:00,08-01-2020 05:15,None,None
08-01-2020 05:15,08-01-2020 05:30,None,None
08-01-2020 05:30,08-01-2020 05:45,None,None
08-01-2020 05:45,08-01-2020 06:00,None,None
08-01-2020 06:00,08-01-2020 06:15,None,None
08-01-2020 06:15,08-01-2020 06:30,None,None
08-01-2020 06:30,08-01-2020 06:45,None,None
08-01-2020 06:45,08-01-2020 07:00,None,None
08-01-2020 07:00,08-01-2020 07:15,None,None
08-01-2020 07:15,08-01-2020 07:30,None,None
08-01-2020 07:30,08-01-2020 07:45,None,None
08-01-2020 07:45,08-01-2020 08:00,None,None
08-01-2020 08:00,08-01-2020 08:15,None,None
08-01-2020 08:15,08-01-2020 08:30,None,None
08-01-2020 08:30,08-01-2020 08:45,None,None
08-01-2020 08:45,08-01-2020 09:00,None,None
08-01-2020 09:00,08-01-2020 09:15,None,None
08-01-2020 09:15,08-01-2020 09:30,None,None
08-01-2020 09:30,08-01-2020 09:45,None,None
08-01-2020 09:45,08-01-2020 10:00,None,None
08-01-2020 10:00,08-01-2020 10:15,None,None
08-01-2020 10:15,08-01-2020 10:30,None,None
08-01-2020 10:30,08-01-2020 10:45,None,None
08-01-2020 10:45,08-01-2020 11:00,None,None
08-01-2020 11:00,08-01-2020 11:15,None,None
08-01-2020 11:15,08-01-2020 11:30,None,None
08-01-2020 11:30,08-01-2020 11:45,None,None
08-01-2020 11:45,08-01-2020 12:00,None,None
08-01-2020 12:00,08-01-2020 12:15,None,None
08-01-2020 12:15,08-01-2020 12:30,None,None
08-01-2020 12:30,08-01-2020 12:45,None,None
08-01-2020 12:45,08-01-2020 13:00,None,None
08-01-2020 13:00,08-01-2020 13:15,None,None
08-01-2020 13:15,08-01-2020 13:30,None,None
08-01-2020 13:30,08-01-2020 13:45,None,None
08-01-2020 13:45,08-01-2020 14:00,None,None
08-01-2020 14:00,08-01-2020 14:15,None,None
08-01-2020 14:15,08-01-2020 14:30,None,None
08-01-2020 14:30,08-01-2020 14:45,None,None
08-01-2020 14:45,08-01-2020 15:00,None,None
08-01-2020 15:00,08-01-2020 15:15,None,None
08-01-2020 15:15,08-01-2020 15:30,None,None
08-01-2020 15:30,08-01-2020 15:45,None,None
08-01-2020 15:45,08-01-2020 16:00,None,None
08-01-2020 16:00,08-01-2020 16:15,None,None
08-01-2020 16:15,08-01-2020 16:30,None,None
08-01-2020 16:30,08-01-2020 16:45,None,None
08-01-2020 16:45,08-01-2020 17:00,None,None
08-01-2020 17:00,08-01-2020 17:15,None,None
08-01-2020 17:15,08-01-2020 17:30,None,None
08-01-2020 17:30,08-01-2020 17:45,None,None
08-01-2020 17:45,08-01-2020 18:00,None,None
08-01-2020 18:00,08-01-2020 18:15,None,None
08-01-2020 18:15,08-01-2020 18:30,None,None
08-01-2020 18:30,08-01-2020 18:45,None,None
08-01-2020 18:45,08-01-2020 19:00,None,None
08-01-2020 19:00,08-01-2020 19:15,None,None
08-01-2020 19:15,08-01-2020 19:30,None,None
08-01-2020 19:30,08-01-2020 19:45,None,None
08-01-2020 19:45,08-01-2020 20:00,None,None
08-01-2020 20:00,08-01-2020 20:15,None,None
08-01-2020 20:15,08-01-2020 20:30,None,None
08-01-2020 20:30,08-01-2020 20:45,None,None
08-01-2020 20:45,08-01-2020 21:00,None,None
08-01-2020 21:00,08-01-2020 21:15,None,None
08-01-2020 21:15,08-01-2020 21:30,None,None
08-01-2020 21:30,08-01-2020 21:45,None,None
08-01-2020 21:45,08-01-2020 22:00,None,None
08-01-2020 22:00,08-01-2020 22:15,None,None
08-01-2020 22:15,08-01-2020 22:30,None,None
08-01-2020 22:30,08-01-2020 22:45,None,None
08-01-2020 22:45,08-01-2020 23:00,None,None
08-01-2020 23:00,08-01-2020 23:15,None,None
08-01-2020 23:15,08-01-2020 23:30,None,None
08-01-2020 23:30,08-01-2020 23:45,None,None
08-01-2020 23:45,09-01-2020 00:00,None,None
09-01-2020 00:00,09-01-2020 00:15,None,None
09-01-2020 00:15,09-01-2020 00:30,None,None
09-01-2020 00:30,09-01-2020 00:45,None,None
09-01-2020 00:45,09-01-2020 01:00,None,None
09-01-2020 01:00,09-01-2020 01:15,None,None
09-01-2020 01:15,09-01-2020 01:30,None,None
09-01-2020 01:30,09-01-2020 01:45,None,None
09-01-2020 01:45,09-01-2020 02:00,None,None
09-01-2020 02:00,09-01-2020 02:15,None,None
09-01-2020 02:15,09-01-2020 02:30,None,None
09-01-2020 02:30,09-01-2020 02:45,None,None
09-01-2020 02:45,09-01-2020 03:00,None,None
09-01-2020 03:00,09-01-2020 03:15,None,None
09-01-2020 03:15,09-01-2020 03:30,None,None
09-01-2020 03:30,09-01-2020 03:45,None,None
09-01-2020 03:45,09-01-2020 04:00,None,None
09-01-2020 04:00,09-01-2020 04:15,None,None
09-01-2020 04:15,09-01-2020 04:30,None,None
09-01-2020 04:30,09-01-2020 04:45,None,None
09-01-2020 04:45,09-01-2020 05:00,None,None
09-01-2020 05:00,09-01-2020 05:15,None,None
09-01-2020 05:15,09-01-2020 05:30,None,None
09-01-2020 05:30,09-01-2020 05:45,None,None
09-01-2020 05:45,09-01-2020 06:00,None,None
09-01-2020 06:00,09-01-2020 06:15,None,None
09-01-2020 06:15,09-01-2020 06:30,None,None
09-01-2020 06:30,09-01-2020 06:45,None,None
09-01-2020 06:45,09-01-2020 07:00,None,None
09-01-2020 07:00,09-01-2020 07:15,None,None
09-01-2020 07:15,09-01-2020 07:30,None,None
09-01-2020 07:30,09-01-2020 07:45,None,None
09-01-2020 07:45,09-01-2020 08:00,None,None
09-01-2020 08:00,09-01-2020 08:15,None,None
09-01-2020 08:15,09-01-2020 08:30,None,None
09-01-2020 08:30,09-01-2020 08:45,None,None
09-01-2020 08:45,09-01-2020 09:00,None,None
09-01-2020 09:00,09-01-2020 09:15,None,None
09-01-2020 09:15,09-01-2020 09:30,None,None
09-01-2020 09:30,09-01-2020 09:45,None,None
09-01-2020 09:45,09-01-2020 10:00,None,None
09-01-2020 10:00,09-01-2020 10:15,None,None
09-01-2020 10:15,09-01-2020 10:30,None,None
09-01-2020 10:30,09-01-2020 10:45,None,None
09-01-2020 10:45,09-01-2020 11:00,None,None
09-01-2020 11:00,09-01-2020 11:15,None,None
09-01-2020 11:15,09-01-2020 11:30,None,None
09-01-2020 11:30,09-01-2020 11:45,None,None
09-01-2020 11:45,09-01-2020 12:00,None,None
09-01-2020 12:00,09-01-2020 12:15,None,None
09-01-2020 12:15,09-01-2020 12:30,None,None
09-01-2020 12:30,09-01-2020 12:45,None,None
09-01-2020 12:45,09-01-2020 13:00,None,None
09-01-2020 13:00,09-01-2020 13:15,None,None
09-01-2020 13:15,09-01-2020 13:30,None,None
09-01-2020 13:30,09-01-2020 13:45,None,None
09-01-2020 13:45,09-01-2020 14:00,None,None
09-01-2020 14:00,09-01-2020 14:15,None,None
09-01-2020 14:15,09-01-2020 14:30,None,None
09-01-2020 14:30,09-01-2020 14:45,None,None
09-01-2020 14:45,09-01-2020 15:00,None,None
09-01-2020 15:00,09-01-2020 15:15,None,None
09-01-2020 15:15,09-01-2020 15:30,None,None
09-01-2020 15:30,09-01-2020 15:45,None,None
09-01-2020 15:45,09-01-2020 16:00,None,None
09-01-2020 16:00,09-01-2020 16:15,None,None
09-01-2020 16:15,09-01-2020 16:30,None,None
09-01-2020 16:30,09-01-2020 16:45,None,None
09-01-2020 16:45,09-01-2020 17:00,None,None
09-01-2020 17:00,09-01-2020 17:15,None,None
09-01-2020 17:15,09-01-2020 17:30,None,None
09-01-2020 17:30,09-01-2020 17:45,None,None
09-01-2020 17:45,09-01-2020 18:00,None,None
09-01-2020 18:00,09-01-2020 18:15,None,None
09-01-2020 18:15,09-01-2020 18:30,None,None
09-01-2020 18:30,09-01-2020 18:45,None,None
09-01-2020 18:45,09-01-2020 19:00,None,None
09-01-2020 19:00,09-01-2020 19:15,None,None
09-01-2020 19:15,09-01-2020 19:30,None,None
09-01-2020 19:30,09-01-2020 19:45,None,None
09-01-2020 19:45,09-01-2020 20:00,None,None
09-01-2020 20:00,09-01-2020 20:15,None,None
09-01-2020 20:15,09-01-2020 20:30,None,None
09-01-2020 20:30,09-01-2020 20:45,None,None
09-01-2020 20:45,09-01-2020 21:00,None,None
09-01-2020 21:00,09-01-2020 21:15,None,None
09-01-2020 21:15,09-01-2020 21:30,None,None
09-01-2020 21:30,09-01-2020 21:45,None,None
09-01-2020 21:45,09-01-2020 22:00,None,None
09-01-2020 22:00,09-01-2020 22:15,None,None
09-01-2020 22:15,09-01-2020 22:30,None,None
09-01-2020 22:30,09-01-2020 22:45,None,None
09-01-2020 22:45,09-01-2020 23:00,None,None
09-01-2020 23:00,09-01-2020 23:15,None,None
09-01-2020 23:15,09-01-2020 23:30,None,None
09-01-2020 23:30,09-01-2020 23:45,None,None
09-01-2020 23:45,10-01-2020 00:00,None,None
10-01-2020 00:00,10-01-2020 00:15,None,None
10-01-2020 00:15,10-01-2020 00:30,None,None
10-01-2020 00:30,10-01-2020 00:45,None,None
10-01-2020 00:45,10-01-2020 01:00,None,None
10-01-2020 01:00,10-01-2020 01:15,None,None
10-01-2020 01:15,10-01-2020 01:30,None,None
10-01-2020 01:30,10-01-2020 01:45,None,None
10-01-2020 01:45,10-01-2020 02:00,None,None
10-01-2020 02:00,10-01-2020 02:15,None,None
10-01-2020 02:15,10-01-2020 02:30,None,None
10-01-2020 02:30,10-01-2020 02:45,None,None
10-01-2020 02:45,10-01-2020 03:00,None,None
10-01-2020 03:00,10-01-2020 03:15,None,None
10-01-2020 03:15,10-01-2020 03:30,None,None
10-01-2020 03:30,10-01-2020 03:45,None,None
10-01-2020 03:45,10-01-2020 04:00,None,None
10-01-2020 04:00,10-01-2020 04:15,None,None
10-01-2020 04:15,10-01-2020 04:30,None,None
10-01-2020 04:30,10-01-2020 04:45,None,None
10-01-2020 04:45,10-01-2020 05:00,None,None
10-01-2020 05:00,10-01-2020 05:15,None,None
10-01-2020 05:15,10-01-2020 05:30,None,None
10-01-2020 05:30,10-01-2020 05:45,None,None
10-01-2020 05:45,10-01-2020 06:00,None,None
10-01-2020 06:00,10-01-2020 06:15,None,None
10-01-2020 06:15,10-01-2020 06:30,None,None
10-01-2020 06:30,10-01-2020 06:45,None,None
10-01-2020 06:45,10-01-2020 07:00,None,None
10-01-2020 07:00,10-01-2020 07:15,None,None
10-01-2020 07:15,10-01-2020 07:30,None,None
10-01-2020 07:30,10-01-2020 07:45,None,None
10-01-2020 07:45,10-01-2020 08:00,None,None
10-01-2020 08:00,10-01-2020 08:15,None,None
10-01-2020 08:15,10-01-2020 08:30,None,None
10-01-2020 08:30,10-01-2020 08:45,None,None
10-01-2020 08:45,10-01-2020 09:00,None,None
10-01-2020 09:00,10-01-2020 09:15,None,None
10-01-2020 09:15,10-01-2020 09:30,None,None
10-01-2020 09:30,10-01-2020 09:45,None,None
10-01-2020 09:45,10-01-2020 10:00,None,None
10-01-2020 10:00,10-01-2020 10:15,None,None
10-01-2020 10:15,10-01-2020 10:30,None,None
10-01-2020 10:30,10-01-2020 10:45,None,None
10-01-2020 10:45,10-01-2020 11:00,None,None
10-01-2020 11:00,10-01-2020 11:15,None,None
10-01-2020 11:15,10-01-2020 11:30,None,None
10-01-2020 11:30,10-01-2020 11:45,None,None
10-01-2020 11:45,10-01-2020 12:00,None,None
10-01-2020 12:00,10-01-2020 12:15,None,None
10-01-2020 12:15,10-01-2020 12:30,None,None
10-01-2020 12:30,10-01-2020 12:45,None,None
10-01-2020 12:45,10-01-2020 13:00,None,None
10-01-2020 13:00,10-01-2020 13:15,None,None
10-01-2020 13:15,10-01-2020 13:30,None,None
10-01-2020 13:30,10-01-2020 13:45,None,None
10-01-2020 13:45,10-01-2020 14:00,None,None
10-01-2020 14:00,10-01-2020 14:15,None,None
10-01-2020 14:15,10-01-2020 14:30,None,None
10-01-2020 14:30,10-01-2020 14:45,None,None
10-01-2020 14:45,10-01-2020 15:00,None,None
10-01-2020 15:00,10-01-2020 15:15,None,None
10-01-2020 15:15,10-01-2020 15:30,None,None
10-01-2020 15:30,10-01-2020 15:45,None,None
10-01-2020 15:45,10-01-2020 16:00,None,None
10-01-2020 16:00,10-01-2020 16:15,None,None
10-01-2020 16:15,10-01-2020 16:30,None,None
10-01-2020 16:30,10-01-2020 16:45,None,None
10-01-2020 16:45,10-01-2020 17:00,None,None
10-01-2020 17:00,10-01-2020 17:15,None,None
10-01-2020 17:15,10-01-2020 17:30,None,None
10-01-2020 17:30,10-01-2020 17:45,None,None
10-01-2020 17:45,10-01-2020 18:00,None,None
10-01-2020 18:00,10-01-2020 18:15,None,None
10-01-2020 18:15,10-01-2020 18:30,None,None
10-01-2020 18:30,10-01-2020 18:45,None,None
10-01-2020 18:45,10-01-2020 19:00,None,None
10-01-2020 19:00,10-01-2020 19:15,None,None
10-01-2020 19:15,10-01-2020 19:30,None,None
10-01-2020 19:30,10-01-2020 19:45,None,None
10-01-2020 19:45,10-01-2020 20:00,None,None
10-01-2020 20:00,10-01-2020 20:15,None,None
10-01-2020 20:15,10-01-2020 20:30,None,None
10-01-2020 20:30,10-01-2020 20:45,None,None
10-01-2020 20:45,10-01-2020 21:00,None,None
10-01-2020 21:00,10-01-2020 21:15,None,None
10-01-2020 21:15,10-01-2020 21:30,None,None
10-01-2020 21:30,10-01-2020 21:45,None,None
10-01-2020 21:45,10-01-2020 22:00,None,None
10-01-2020 22:00,10-01-2020 22:15,None,None
10-01-2020 22:15,10-01-2020 22:30,None,None
10-01-2020 22:30,10-01-2020 22:45,None,None
10-01-2020 22:45,10-01-2020 23:00,None,None
10-01-2020 23:00,10-01-2020 23:15,None,None
10-01-2020 23:15,10-01-2020 23:30,None,None
10-01-2020 23:30,10-01-2020 23:45,None,None
10-01-2020 23:45,11-01-2020 00:00,None,None
11-01-2020 00:00,11-01-2020 00:15,None,None
11-01-2020 00:15,11-01-2020 00:30,None,None
11-01-2020 00:30,11-01-2020 00:45,None,None
11-01-2020 00:45,11-01-2020 01:00,None,None
11-01-2020 01:00,11-01-2020 01:15,None,None
11-01-2020 01:15,11-01-2020 01:30,None,None
11-01-2020 01:30,11-01-2020 01:45,None,None
11-01-2020 01:45,11-01-2020 02:00,None,None
11-01-2020 02:00,11-01-2020 02:15,None,None
11-01-2020 02:15,11-01-2020 02:30,None,None
11-01-2020 02:30,11-01-2020 02:45,None,None
11-01-2020 02:45,11-01-2020 03:00,None,None
11-01-2020 03:00,11-01-2020 03:15,None,None
11-01-2020 03:15,11-01-2020 03:30,None,None
11-01-2020 03:30,11-01-2020 03:45,None,None
11-01-2020 03:45,11-01-2020 04:00,None,None
11-01-2020 04:00,11-01-2020 04:15,None,None
11-01-2020 04:15,11-01-2020 04:30,None,None
11-01-2020 04:30,11-01-2020 04:45,None,None
11-01-2020 04:45,11-01-2020 05:00,None,None
11-01-2020 05:00,11-01-2020 05:15,None,None
11-01-2020 05:15,11-01-2020 05:30,None,None
11-01-2020 05:30,11-01-2020 05:45,None,None
11-01-2020 05:45,11-01-2020 06:00,None,None
11-01-2020 06:00,11-01-2020 06:15,None,None
11-01-2020 06:15,11-01-2020 06:30,None,None
11-01-2020 06:30,11-01-2020 06:45,None,None
11-01-2020 06:45,11-01-2020 07:00,None,None
11-01-2020 07:00,11-01-2020 07:15,None,None
11-01-2020 07:15,11-01-2020 07:30,None,None
11-01-2020 07:30,11-01-2020 07:45,None,None
11-01-2020 07:45,11-01-2020 08:00,None,None
11-01-2020 08:00,11-01-2020 08:15,None,None
11-01-2020 08:15,11-01-2020 08:30,None,None
11-01-2020 08:30,11-01-2020 08:45,None,None
11-01-2020 08:45,11-01-2020 09:00,None,None
11-01-2020 09:00,11-01-2020 09:15,None,None
11-01-2020 09:15,11-01-2020 09:30,None,None
11-01-2020 09:30,11-01-2020 09:45,None,None
11-01-2020 09:45,11-01-2020 10:00,None,None
11-01-2020 10:00,11-01-2020 10:15,None,None
11-01-2020 10:15,11-01-2020 10:30,None,None
11-01-2020 10:30,11-01-2020 10:45,None,None
11-01-2020 10:45,11-01-2020 11:00,None,None
11-01-2020 11:00,11-01-2020 11:15,None,None
11-01-2020 11:15,11-01-2020 11:30,None,None
11-01-2020 11:30,11-01-2020 11:45,None,None
11-01-2020 11:45,11-01-2020 12:00,None,None
11-01-2020 12:00,11-01-2020 12:15,None,None
11-01-2020 12:15,11-01-2020 12:30,None,None
11-01-2020 12:30,11-01-2020 12:45,None,None
11-01-2020 12:45,11-01-2020 13:00,None,None
11-01-2020 13:00,11-01-2020 13:15,None,None
11-01-2020 13:15,11-01-2020 13:30,None,None
11-01-2020 13:30,11-01-2020 13:45,None,None
11-01-2020 13:45,11-01-2020 14:00,None,None
11-01-2020 14:00,11-01-2020 14:15,None,None
11-01-2020 14:15,11-01-2020 14:30,None,None
11-01-2020 14:30,11-01-2020 14:45,None,None
11-01-2020 14:45,11-01-2020 15:00,None,None
11-01-2020 15:00,11-01-2020 15:15,None,None
11-01-2020 15:15,11-01-2020 15:30,None,None
11-01-2020 15:30,11-01-2020 15:45,None,None
